"datetime","main.aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2023-11-06 15:52:19+08:00",2.0,337.12,0.1,1.95,76.53,1.1,18.51,20.02,2.15,119.9811,16.1561,"2023-11-06 15:52:19.564737+08:00","Alaminos"
"2023-11-06 15:52:20+08:00",2.0,343.8,0.36,5.01,60.8,3.61,8.12,9.62,3.2,120.5833,15.15,"2023-11-06 15:52:21.211334+08:00","Angeles City"
"2023-11-06 15:52:22+08:00",1.0,240.33,0.1,1.41,51.5,0.41,1.28,1.65,1.2,121.19,15.6181,"2023-11-06 15:52:22.835422+08:00","Antipolo"
"2023-11-06 15:52:23+08:00",1.0,181.91,0.05,0.41,37.55,1.33,1.12,1.28,0.36,123.5085,12.2285,"2023-11-06 15:52:24.194722+08:00","Bacolod"
"2023-11-06 15:52:25+08:00",5.0,1001.36,0.05,5.44,254.63,28.85,102.82,131.67,9.75,120.929,14.459000000000001,"2023-11-06 15:52:25.758546+08:00","Bacoor"
"2023-11-06 15:52:27+08:00",1.0,196.93,0.11,0.93,43.63,1.16,1.67,2.9,0.52,122.8333,10.5333,"2023-11-06 15:52:28.190811+08:00","Bago City"
"2023-11-06 15:52:30+08:00",2.0,297.07,0.04,1.25,73.67,1.58,15.6,16.31,1.12,120.5931,16.4164,"2023-11-06 15:52:30.394527+08:00","Baguio"
"2023-11-06 15:52:32+08:00",1.0,201.94,0.07,0.72,56.51,0.64,4.51,5.18,1.14,123.1228,9.5911,"2023-11-06 15:52:32.334714+08:00","Bais"
"2023-11-06 15:52:33+08:00",2.0,340.46,0.31,4.16,92.98,3.55,10.55,18.08,3.14,120.5361,14.6761,"2023-11-06 15:52:33.931315+08:00","Balanga"
"2023-11-06 15:52:36+08:00",1.0,230.31,0.01,0.17,58.65,0.14,1.73,2.13,0.41,120.5649,18.0554,"2023-11-06 15:52:36.810482+08:00","Batac City"
"2023-11-06 15:52:39+08:00",1.0,213.62,0.34,6.08,56.51,6.56,2.64,3.16,0.97,121.05,13.75,"2023-11-06 15:52:39.538310+08:00","Batangas City"
"2023-11-06 15:52:42+08:00",1.0,196.93,0.04,0.66,55.79,0.47,3.12,3.48,0.75,122.8011,9.3636,"2023-11-06 15:52:42.223416+08:00","Bayawan"
"2023-11-06 15:52:44+08:00",1.0,180.24,0.02,0.16,42.56,9.18,2.22,2.55,0.0,123.7135,13.4083,"2023-11-06 15:52:44.746786+08:00","Baybay"
"2023-11-06 15:52:46+08:00",1.0,198.6,0.06,0.8,33.26,0.32,0.84,1.46,0.69,125.7675,8.7561,"2023-11-06 15:52:46.558798+08:00","Bayugan"
"2023-11-06 15:52:49+08:00",1.0,303.75,0.62,6.77,55.79,1.97,2.17,2.99,2.31,125.0336,11.0725,"2023-11-06 15:52:49.217454+08:00","Bislig"
"2023-11-06 15:52:51+08:00",1.0,307.08,0.61,9.77,58.65,14.42,3.95,6.73,2.44,121.0807,14.3427,"2023-11-06 15:52:51.773908+08:00","Biñan"
"2023-11-06 15:52:52+08:00",1.0,188.59,0.07,0.98,35.41,0.37,0.83,1.12,0.28,124.0055,11.0517,"2023-11-06 15:52:53.208358+08:00","Bogo"
"2023-11-06 15:52:54+08:00",1.0,178.58,0.03,0.64,35.76,0.28,0.65,1.18,0.05,125.4319,11.6081,"2023-11-06 15:52:55.103739+08:00","Borongan"
"2023-11-06 15:52:56+08:00",1.0,200.27,0.02,0.34,47.21,0.27,0.94,1.54,0.31,125.5436,8.9492,"2023-11-06 15:52:56.472526+08:00","Butuan"
"2023-11-06 15:52:58+08:00",1.0,201.94,0.02,0.59,52.21,0.46,1.06,1.58,0.25,125.5344,9.1236,"2023-11-06 15:52:59.176826+08:00","Cabadbaran"
"2023-11-06 15:53:00+08:00",1.0,240.33,0.05,1.78,57.94,0.51,1.08,1.44,1.16,120.9667,15.4833,"2023-11-06 15:53:00.655990+08:00","Cabanatuan City"
"2023-11-06 15:53:02+08:00",1.0,307.08,0.61,9.77,58.65,14.42,3.95,6.73,2.44,121.1262,14.2726,"2023-11-06 15:53:03.022032+08:00","Cabuyao"
"2023-11-06 15:53:05+08:00",1.0,181.91,0.02,0.19,38.98,0.48,1.08,1.62,0.09,123.2856,10.9506,"2023-11-06 15:53:05.690212+08:00","Cadiz"
"2023-11-06 15:53:07+08:00",1.0,193.6,0.05,0.42,48.64,0.29,0.63,1.25,0.34,124.6472,8.4822,"2023-11-06 15:53:07.228250+08:00","Cagayan de Oro"
"2023-11-06 15:53:08+08:00",1.0,240.33,0.28,4.71,54.36,6.02,3.09,4.36,1.47,120.8133,13.9324,"2023-11-06 15:53:09.162770+08:00","Calaca"
"2023-11-06 15:53:11+08:00",1.0,307.08,0.61,9.77,58.65,14.42,3.95,6.73,2.44,121.1653,14.2117,"2023-11-06 15:53:11.497775+08:00","Calamba"
"2023-11-06 15:53:12+08:00",1.0,186.92,0.17,1.78,49.35,1.8,0.97,1.52,0.13,121.1803,13.4117,"2023-11-06 15:53:12.940186+08:00","Calapan"
"2023-11-06 15:53:14+08:00",1.0,181.91,0.05,0.31,28.25,3.99,1.05,1.35,0.38,124.6,12.0667,"2023-11-06 15:53:15.213533+08:00","Calbayog City"
"2023-11-06 15:53:16+08:00",2.0,383.85,0.39,8.65,81.54,8.23,6.13,12.75,3.86,120.9667,14.65,"2023-11-06 15:53:17.011000+08:00","Caloocan City"
"2023-11-06 15:53:18+08:00",2.0,293.73,0.02,0.48,64.37,0.37,9.39,9.82,1.57,120.4517,17.1947,"2023-11-06 15:53:19.131273+08:00","Candon"
"2023-11-06 15:53:21+08:00",1.0,333.79,0.73,6.34,43.27,2.0,8.55,9.99,5.64,123.1964,10.3864,"2023-11-06 15:53:21.831802+08:00","Canlaon"
"2023-11-06 15:53:23+08:00",1.0,240.33,0.24,2.49,57.22,3.46,5.79,9.11,3.33,123.6402,10.1061,"2023-11-06 15:53:23.327451+08:00","Carcar"
"2023-11-06 15:53:24+08:00",1.0,307.08,0.61,9.77,58.65,14.42,3.95,6.73,2.44,121.0576,14.3132,"2023-11-06 15:53:24.701828+08:00","Carmona"
"2023-11-06 15:53:26+08:00",1.0,211.95,0.05,0.96,32.19,0.67,1.02,1.52,1.68,124.8861,11.7753,"2023-11-06 15:53:26.408915+08:00","Catbalogan"
"2023-11-06 15:53:28+08:00",2.0,337.12,0.05,2.42,55.08,0.55,11.11,12.22,5.26,121.7725,16.9347,"2023-11-06 15:53:29.038885+08:00","Cauayan"
"2023-11-06 15:53:30+08:00",5.0,1001.36,0.05,5.44,254.63,28.85,102.82,131.67,9.75,120.9169,14.4825,"2023-11-06 15:53:30.613859+08:00","Cavite City"
"2023-11-06 15:53:32+08:00",1.0,250.34,0.38,3.04,52.93,4.05,5.27,6.96,2.82,123.8907,10.3167,"2023-11-06 15:53:32.667460+08:00","Cebu City"
"2023-11-06 15:53:34+08:00",2.0,357.15,0.85,8.4,60.08,9.54,3.98,10.87,3.48,121.1,14.6333,"2023-11-06 15:53:34.707362+08:00","City of Marikina"
"2023-11-06 15:53:35+08:00",1.0,181.91,0.05,0.41,37.55,1.33,1.12,1.28,0.36,123.5833,12.3333,"2023-11-06 15:53:36.131553+08:00","City of Masbate"
"2023-11-06 15:53:38+08:00",1.0,236.99,0.32,1.82,36.84,1.7,4.62,5.43,2.22,122.65,11.15,"2023-11-06 15:53:38.588922+08:00","City of Passi"
"2023-11-06 15:53:40+08:00",1.0,183.58,0.06,0.65,35.41,3.19,0.84,1.28,0.6,123.9833,12.9833,"2023-11-06 15:53:40.525906+08:00","City of Sorsogon"
"2023-11-06 15:53:41+08:00",1.0,307.08,0.07,1.09,49.35,0.43,4.92,5.88,3.86,124.2464,7.2236,"2023-11-06 15:53:41.942844+08:00","Cotabato"
"2023-11-06 15:53:44+08:00",2.0,243.66,0.05,0.53,64.37,0.15,2.92,3.64,1.31,121.5047,17.7061,"2023-11-06 15:53:44.232192+08:00","Dagupan"
"2023-11-06 15:53:45+08:00",2.0,198.6,0.11,1.3,77.96,3.99,8.2,9.46,0.3,124.0272,10.5208,"2023-11-06 15:53:45.920358+08:00","Danao"
"2023-11-06 15:53:48+08:00",1.0,250.34,0.38,3.04,52.93,4.05,5.27,6.96,2.82,123.9469,10.2706,"2023-11-06 15:53:48.497124+08:00","Dapitan"
"2023-11-06 15:53:50+08:00",2.0,383.85,0.22,6.86,91.55,12.52,12.74,16.69,2.72,120.9367,14.3294,"2023-11-06 15:53:51.161518+08:00","Dasmariñas"
"2023-11-06 15:53:52+08:00",2.0,514.03,0.76,14.22,63.66,4.41,4.92,6.46,3.58,125.6128,7.0731,"2023-11-06 15:53:53.198763+08:00","Davao"
"2023-11-06 15:53:55+08:00",1.0,226.97,0.04,1.41,32.9,0.5,0.89,1.16,0.87,125.3572,6.7497,"2023-11-06 15:53:55.693658+08:00","Digos"
"2023-11-06 15:53:57+08:00",1.0,185.25,0.04,0.27,46.49,0.29,0.76,1.4,0.1,123.3414,8.5894,"2023-11-06 15:53:57.298340+08:00","Dipolog"
"2023-11-06 15:53:59+08:00",1.0,203.61,0.15,1.27,49.35,0.69,2.77,3.35,0.97,123.3081,9.3103,"2023-11-06 15:53:59.956580+08:00","Dumaguete"
